train on nosun ,val on sun
baseline
                   Class      Images    top1_acc    top5_acc
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.683       0.868
                 1_empty        1072        0.91           1
                  1_full        1216       0.941           1
                 2_empty         997       0.252       0.767
                  2_full        1291       0.783        0.99
                 3_empty        1823       0.298       0.463
                  3_full         465       0.499       0.942
                 4_empty        1380       0.975       0.998
                  4_full         908       0.945       0.989
                 5_empty        1032       0.251       0.621
                  5_full        1256       0.479        0.92
                 6_empty        1685       0.399       0.571
                  6_full         603       0.692       0.997
                 7_empty        1853       0.986       0.994
                  7_full         435       0.908       0.986
                 8_empty        1493       0.674       0.929
                  8_full         795       0.894       0.986
                 9_empty        1779       0.818       0.954
                  9_full         509       0.717        0.98



train on both , val on each 3
baseline
val-all
                  Class      Images    top1_acc    top5_acc
                     all        9017       0.985       0.999
                 1_empty         533       0.996           1
                  1_full         469       0.987           1
                 2_empty         488       0.986       0.998
                  2_full         514       0.977       0.998
                 3_empty         776       0.994           1
                  3_full         226       0.925       0.991
                 4_empty         633       0.995           1
                  4_full         369        0.97           1
                 5_empty         497        0.99           1
                  5_full         505       0.974           1
                 6_empty         731       0.995           1
                  6_full         271       0.956       0.996
                 7_empty         814       0.996       0.999
                  7_full         188       0.989           1
                 8_empty         684       0.994       0.999
                  8_full         318       0.956           1
                 9_empty         804        0.99           1
                  9_full         197       0.944           1
sunlight-all
                   Class      Images    top1_acc    top5_acc
                     all       20592       0.992           1
                 1_empty        1072       0.999           1
                  1_full        1216       0.995           1
                 2_empty         997       0.992       0.998
                  2_full        1291        0.99           1
                 3_empty        1823       0.997           1
                  3_full         465       0.959       0.996
                 4_empty        1380       0.997           1
                  4_full         908       0.982           1
                 5_empty        1032       0.991       0.998
                  5_full        1256        0.99           1
                 6_empty        1685       0.998           1
                  6_full         603        0.97       0.998
                 7_empty        1853       0.998       0.999
                  7_full         435       0.989           1
                 8_empty        1493       0.995       0.999
                  8_full         795       0.981           1
                 9_empty        1779       0.995           1
                  9_full         509       0.982           1
nosunlight-all
                   Class      Images    top1_acc    top5_acc
                     all        2835       0.993       0.999
                 1_empty         211       0.991           1
                  1_full         104        0.99           1
                 2_empty         189       0.995           1
                  2_full         126       0.984       0.992
                 3_empty         229       0.996           1
                  3_full          86       0.988           1
                 4_empty         219           1           1
                  4_full          96       0.958           1
                 5_empty         188           1           1
                  5_full         127       0.984           1
                 6_empty         225           1           1
                  6_full          90           1           1
                 7_empty         257           1           1
                  7_full          58           1           1
                 8_empty         237       0.992       0.996
                  8_full          78       0.974           1
                 9_empty         271       0.996           1
                  9_full          44       0.955           1
shade_+30:
all
                   Class      Images    top1_acc    top5_acc
                     all        9017       0.985       0.999
                 1_empty         533       0.994           1
                  1_full         469       0.994           1
                 2_empty         488       0.988           1
                  2_full         514       0.977       0.998
                 3_empty         776       0.988           1
                  3_full         226       0.903       0.991
                 4_empty         633       0.994           1
                  4_full         369       0.973           1
                 5_empty         497        0.99           1
